2017 NAICS Code,2017 NAICS Title,GHG,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,Reference USEEIO Code,,,,,
111920,Cotton Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,111900,,,"kg CO2e/2022 USD, purchaser price",713990,0.235
111930,Sugarcane Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,111900,,,All Other Animal Production,112990,1.077
111940,Hay Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,111900,,,"kg CO2e/2022 USD, purchaser price",112990,1.077
111991,Sugar Beet Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,111900,,,All Other Automotive Repair and Maintenance,811198,0.103
111992,Peanut Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,111900,,,"kg CO2e/2022 USD, purchaser price",811198,0.103
111998,All Other Miscellaneous Crop Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,111900,,,All Other Basic Organic Chemical Manufacturing,325199,1.166
112111,Beef Cattle Ranching and Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",2.847,0.045,2.893,1121A0,,,"kg CO2e/2022 USD, purchaser price",325199,1.166
112112,Cattle Feedlots,All GHGs,"kg CO2e/2022 USD, purchaser price",2.847,0.045,2.893,1121A0,,,All Other Business Support Services,561499,0.111
112120,Dairy Cattle and Milk Production,All GHGs,"kg CO2e/2022 USD, purchaser price",1.682,0.042,1.724,112120,,,"kg CO2e/2022 USD, purchaser price",561499,0.111
112130,Dual-Purpose Cattle Ranching and Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",2.847,0.045,2.893,1121A0,,,All Other Consumer Goods Rental,532289,0.102
112210,Hog and Pig Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,,,"kg CO2e/2022 USD, purchaser price",532289,0.102
112310,Chicken Egg Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.407,0.031,0.438,112300,,,All Other Converted Paper Product Manufacturing,322299,0.305
112320,Broilers and Other Meat Type Chicken Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.407,0.031,0.438,112300,,,"kg CO2e/2022 USD, purchaser price",322299,0.305
112330,Turkey Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.407,0.031,0.438,112300,,,All Other General Merchandise Stores,452319,0.164
112340,Poultry Hatcheries,All GHGs,"kg CO2e/2022 USD, purchaser price",0.407,0.031,0.438,112300,,,"kg CO2e/2022 USD, purchaser price",452319,0.164
112390,Other Poultry Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.407,0.031,0.438,112300,,,All Other Grain Farming,111199,0.809
112410,Sheep Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,,,"kg CO2e/2022 USD, purchaser price",111199,0.809
112420,Goat Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,,,All Other Health and Personal Care Stores,446199,0.13
112511,Finfish Farming and Fish Hatcheries,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,,,"kg CO2e/2022 USD, purchaser price",446199,0.13
112512,Shellfish Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,,,All Other Home Furnishings Stores,442299,0.111
112519,Other Aquaculture,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,,,"kg CO2e/2022 USD, purchaser price",442299,0.111
112910,Apiculture,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,,,All Other Information Services,519190,0.064
112920,Horses and Other Equine Production,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,,,"kg CO2e/2022 USD, purchaser price",519190,0.064
112930,Fur-Bearing Animal and Rabbit Production,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,,,All Other Insurance Related Activities,524298,0.029
112990,All Other Animal Production,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,,,"kg CO2e/2022 USD, purchaser price",524298,0.029
113110,Timber Tract Operations,All GHGs,"kg CO2e/2022 USD, purchaser price",0.199,0.045,0.243,113000,,,All Other Leather Good and Allied Product Manufacturing,316998,0.222
113210,Forest Nurseries and Gathering of Forest Products,All GHGs,"kg CO2e/2022 USD, purchaser price",0.199,0.045,0.243,113000,,,"kg CO2e/2022 USD, purchaser price",316998,0.222
113310,Logging,All GHGs,"kg CO2e/2022 USD, purchaser price",0.199,0.045,0.243,113000,,,All Other Legal Services,541199,0.041
114111,Finfish Fishing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.127,0.027,0.154,114000,,,"kg CO2e/2022 USD, purchaser price",541199,0.041
114112,Shellfish Fishing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.127,0.027,0.154,114000,,,All Other Metal Ore Mining,212299,0.54
114119,Other Marine Fishing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.127,0.027,0.154,114000,,,"kg CO2e/2022 USD, purchaser price",212299,0.54
114210,Hunting and Trapping,All GHGs,"kg CO2e/2022 USD, purchaser price",0.127,0.027,0.154,114000,,,All Other Miscellaneous Ambulatory Health Care Services,621999,0.18
115111,Cotton Ginning,All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0,0.384,115000,,,"kg CO2e/2022 USD, purchaser price",621999,0.18
115112,"Soil Preparation, Planting, and Cultivating",All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0,0.384,115000,,,All Other Miscellaneous Chemical Product and Preparation Manufacturing,325998,0.472
115113,"Crop Harvesting, Primarily by Machine",All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0,0.384,115000,,,"kg CO2e/2022 USD, purchaser price",325998,0.472
115114,Postharvest Crop Activities (except Cotton Ginning),All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0,0.384,115000,,,All Other Miscellaneous Crop Farming,111998,0.703
115115,Farm Labor Contractors and Crew Leaders,All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0,0.384,115000,,,"kg CO2e/2022 USD, purchaser price",111998,0.703
115116,Farm Management Services,All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0,0.384,115000,,,All Other Miscellaneous Electrical Equipment and Component Manufacturing,335999,0.112
115210,Support Activities for Animal Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0,0.384,115000,,,"kg CO2e/2022 USD, purchaser price",335999,0.112
115310,Support Activities for Forestry,All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0,0.384,115000,,,All Other Miscellaneous Fabricated Metal Product Manufacturing,332999,0.248
211120,Crude Petroleum Extraction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.377,0.028,0.405,211000,,,"kg CO2e/2022 USD, purchaser price",332999,0.248
211130,Natural Gas Extraction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.377,0.028,0.405,211000,,,All Other Miscellaneous Food Manufacturing,311999,0.358
212111,Bituminous Coal and Lignite Surface Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.747,0.094,0.841,212100,,,"kg CO2e/2022 USD, purchaser price",311999,0.358
212112,Bituminous Coal Underground Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.747,0.094,0.841,212100,,,All Other Miscellaneous General Purpose Machinery Manufacturing,333999,0.228
212113,Anthracite Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.747,0.094,0.841,212100,,,"kg CO2e/2022 USD, purchaser price",333999,0.228
212210,Iron Ore Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,2122A0,,,All Other Miscellaneous Manufacturing,339999,0.121
212221,Gold Ore Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,2122A0,,,"kg CO2e/2022 USD, purchaser price",339999,0.121
212222,Silver Ore Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,2122A0,,,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,327999,0.719
212230,"Copper, Nickel, Lead, and Zinc Mining",All GHGs,"kg CO2e/2022 USD, purchaser price",0.27,0.053,0.324,212230,,,"kg CO2e/2022 USD, purchaser price",327999,0.719
212291,Uranium-Radium-Vanadium Ore Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,2122A0,,,All Other Miscellaneous Schools and Instruction,611699,0.108
212299,All Other Metal Ore Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,2122A0,,,"kg CO2e/2022 USD, purchaser price",611699,0.108
212311,Dimension Stone Mining and Quarrying,All GHGs,"kg CO2e/2022 USD, purchaser price",0.193,0.086,0.279,212310,,,All Other Miscellaneous Store Retailers (except Tobacco Stores),453998,0.111
212312,Crushed and Broken Limestone Mining and Quarrying,All GHGs,"kg CO2e/2022 USD, purchaser price",0.193,0.086,0.279,212310,,,"kg CO2e/2022 USD, purchaser price",453998,0.111
212313,Crushed and Broken Granite Mining and Quarrying,All GHGs,"kg CO2e/2022 USD, purchaser price",0.193,0.086,0.279,212310,,,All Other Miscellaneous Textile Product Mills,314999,0.197
212319,Other Crushed and Broken Stone Mining and Quarrying,All GHGs,"kg CO2e/2022 USD, purchaser price",0.193,0.086,0.279,212310,,,"kg CO2e/2022 USD, purchaser price",314999,0.197
212321,Construction Sand and Gravel Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,2123A0,,,All Other Miscellaneous Waste Management Services,562998,0.988
212322,Industrial Sand Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,2123A0,,,"kg CO2e/2022 USD, purchaser price",562998,0.988
212324,Kaolin and Ball Clay Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,2123A0,,,All Other Miscellaneous Wood Product Manufacturing,321999,0.135
212325,Clay and Ceramic and Refractory Minerals Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,2123A0,,,"kg CO2e/2022 USD, purchaser price",321999,0.135
212391,"Potash, Soda, and Borate Mineral Mining",All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,2123A0,,,All Other Nondepository Credit Intermediation,522298,0.072
212392,Phosphate Rock Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,2123A0,,,"kg CO2e/2022 USD, purchaser price",522298,0.072
212393,Other Chemical and Fertilizer Mineral Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,2123A0,,,All Other Nonmetallic Mineral Mining,212399,0.184
212399,All Other Nonmetallic Mineral Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,2123A0,,,"kg CO2e/2022 USD, purchaser price",212399,0.184
213111,Drilling Oil and Gas Wells,All GHGs,"kg CO2e/2022 USD, purchaser price",0.407,0,0.407,213111,,,All Other Outpatient Care Centers,621498,0.096
213112,Support Activities for Oil and Gas Operations,All GHGs,"kg CO2e/2022 USD, purchaser price",0.372,0,0.372,21311A,,,"kg CO2e/2022 USD, purchaser price",621498,0.096
213113,Support Activities for Coal Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.372,0,0.372,21311A,,,All Other Personal Services,812990,0.111
213114,Support Activities for Metal Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.372,0,0.372,21311A,,,"kg CO2e/2022 USD, purchaser price",812990,0.111
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.372,0,0.372,21311A,,,All Other Petroleum and Coal Products Manufacturing,324199,0.359
221210,Natural Gas Distribution,All GHGs,"kg CO2e/2022 USD, purchaser price",0.532,0,0.532,221200,,,"kg CO2e/2022 USD, purchaser price",324199,0.359
221310,Water Supply and Irrigation Systems,All GHGs,"kg CO2e/2022 USD, purchaser price",0.578,0,0.578,221300,,,All Other Pipeline Transportation,486990,1.619
221320,Sewage Treatment Facilities,All GHGs,"kg CO2e/2022 USD, purchaser price",0.578,0,0.578,221300,,,"kg CO2e/2022 USD, purchaser price",486990,1.619
221330,Steam and Air-Conditioning Supply,All GHGs,"kg CO2e/2022 USD, purchaser price",0.578,0,0.578,221300,,,All Other Plastics Product Manufacturing,326199,0.344
236115,New Single-Family Housing Construction (except For-Sale Builders),All GHGs,"kg CO2e/2022 USD, purchaser price",0.194,0,0.194,233411,,,"kg CO2e/2022 USD, purchaser price",326199,0.344
236116,New Multifamily Housing Construction (except For-Sale Builders),All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,233412,,,"All Other Professional, Scientific, and Technical Services",541990,0.08
236117,New Housing For-Sale Builders,All GHGs,"kg CO2e/2022 USD, purchaser price",0.216,0,0.216,"233411, 233412, 2334A0",,,"kg CO2e/2022 USD, purchaser price",541990,0.08
236118,Residential Remodelers,All GHGs,"kg CO2e/2022 USD, purchaser price",0.211,0,0.211,230302,,,All Other Publishers,511199,0.053
236210,Industrial Building Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.239,0,0.239,"230301, 233230",,,"kg CO2e/2022 USD, purchaser price",511199,0.053
236220,Commercial and Institutional Building Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.224,0,0.224,"230301, 233210, 233262, 2332A0",,,All Other Rubber Product Manufacturing,326299,0.313
237110,Water and Sewer Line and Related Structures Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.277,0,0.277,233240,,,"kg CO2e/2022 USD, purchaser price",326299,0.313
237120,Oil and Gas Pipeline and Related Structures Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.277,0,0.277,233240,,,All Other Specialty Food Stores,445299,0.186
237130,Power and Communication Line and Related Structures Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.277,0,0.277,233240,,,"kg CO2e/2022 USD, purchaser price",445299,0.186
237210,Land Subdivision,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"233210, 233230, 233240, 233262, 2332A0, 2332C0, 2332D0, 233411, 233412, 2334A0",,,All Other Specialty Trade Contractors,238990,0.221
237310,"Highway, Street, and Bridge Construction",All GHGs,"kg CO2e/2022 USD, purchaser price",0.255,0,0.255,2332C0,,,"kg CO2e/2022 USD, purchaser price",238990,0.221
237990,Other Heavy and Civil Engineering Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.202,0,0.202,2332D0,,,All Other Support Activities for Transportation,488999,0.162
238110,Poured Concrete Foundation and Structure Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,"kg CO2e/2022 USD, purchaser price",488999,0.162
238120,Structural Steel and Precast Concrete Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,All Other Support Services,561990,0.127
238130,Framing Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,"kg CO2e/2022 USD, purchaser price",561990,0.127
238140,Masonry Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,All Other Telecommunications,517919,0.078
238150,Glass and Glazing Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,"kg CO2e/2022 USD, purchaser price",517919,0.078
238160,Roofing Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,All Other Transit and Ground Passenger Transportation,485999,0.566
238170,Siding Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,"kg CO2e/2022 USD, purchaser price",485999,0.566
238190,"Other Foundation, Structure, and Building Exterior Contractors",All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,All Other Transportation Equipment Manufacturing,336999,0.157
238210,Electrical Contractors and Other Wiring Installation Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,"kg CO2e/2022 USD, purchaser price",336999,0.157
238220,"Plumbing, Heating, and Air-Conditioning Contractors",All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,All Other Travel Arrangement and Reservation Services,561599,0.088
238290,Other Building Equipment Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,"kg CO2e/2022 USD, purchaser price",561599,0.088
238310,Drywall and Insulation Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,All Other Traveler Accommodation,721199,0.145
238320,Painting and Wall Covering Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,"kg CO2e/2022 USD, purchaser price",721199,0.145
238330,Flooring Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,Alumina Refining and Primary Aluminum Production,331313,1.003
238340,Tile and Terrazzo Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,"kg CO2e/2022 USD, purchaser price",331313,1.003
238350,Finish Carpentry Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,Aluminum Foundries (except Die-Casting),331524,0.438
238390,Other Building Finishing Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,"kg CO2e/2022 USD, purchaser price",331524,0.438
238910,Site Preparation Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,"Aluminum Sheet, Plate, and Foil Manufacturing",331315,0.7
238990,All Other Specialty Trade Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",,,"kg CO2e/2022 USD, purchaser price",331315,0.7
311111,Dog and Cat Food Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.282,0.051,0.333,311111,,,Ambulance Services,621910,0.18
311119,Other Animal Food Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.428,0.031,0.459,311119,,,"kg CO2e/2022 USD, purchaser price",621910,0.18
311211,Flour Milling,All GHGs,"kg CO2e/2022 USD, purchaser price",0.732,0.037,0.769,311210,,,Ammunition (except Small Arms) Manufacturing,332993,0.115
311212,Rice Milling,All GHGs,"kg CO2e/2022 USD, purchaser price",0.732,0.037,0.769,311210,,,"kg CO2e/2022 USD, purchaser price",332993,0.115
311213,Malt Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.732,0.037,0.769,311210,,,Amusement and Theme Parks,713110,0.167
311221,Wet Corn Milling,All GHGs,"kg CO2e/2022 USD, purchaser price",0.956,0.037,0.993,311221,,,"kg CO2e/2022 USD, purchaser price",713110,0.167
311224,Soybean and Other Oilseed Processing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.481,0.03,0.511,311224,,,Amusement Arcades,713120,0.167
311225,Fats and Oils Refining and Blending,All GHGs,"kg CO2e/2022 USD, purchaser price",0.36,0.025,0.385,311225,,,"kg CO2e/2022 USD, purchaser price",713120,0.167
311230,Breakfast Cereal Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.423,0.05,0.473,311230,,,Analytical Laboratory Instrument Manufacturing,334516,0.078
311313,Beet Sugar Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,311300,,,"kg CO2e/2022 USD, purchaser price",334516,0.078
311314,Cane Sugar Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,311300,,,Animal (except Poultry) Slaughtering,311611,1.086
311340,Nonchocolate Confectionery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,311300,,,"kg CO2e/2022 USD, purchaser price",311611,1.086
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,All GHGs,"kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,311300,,,Anthracite Mining,212113,0.747
311352,Confectionery Manufacturing from Purchased Chocolate,All GHGs,"kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,311300,,,"kg CO2e/2022 USD, purchaser price",212113,0.747
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.438,0.047,0.485,311410,,,Apiculture,112910,1.077
311412,Frozen Specialty Food Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.438,0.047,0.485,311410,,,"kg CO2e/2022 USD, purchaser price",112910,1.077
311421,Fruit and Vegetable Canning,All GHGs,"kg CO2e/2022 USD, purchaser price",0.343,0.038,0.381,311420,,,Apparel Accessories and Other Apparel Manufacturing,315990,0.06
311422,Specialty Canning,All GHGs,"kg CO2e/2022 USD, purchaser price",0.343,0.038,0.381,311420,,,"kg CO2e/2022 USD, purchaser price",315990,0.06
311423,Dried and Dehydrated Food Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.343,0.038,0.381,311420,,,Apple Orchards,111331,0.429
311511,Fluid Milk Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.766,0.037,0.803,31151A,,,"kg CO2e/2022 USD, purchaser price",111331,0.429
311512,Creamery Butter Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.766,0.037,0.803,31151A,,,Appliance Repair and Maintenance,811412,0.113
311513,Cheese Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.936,0.034,0.969,311513,,,"kg CO2e/2022 USD, purchaser price",811412,0.113
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.605,0.037,0.642,311514,,,Apprenticeship Training,611513,0.108
